"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio Astronomy";"5.149";"MOBILE, Radio Astronomy";"5.149, ECA36";"";"Maritime military systems";"";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio Astronomy";"5.149";"MOBILE, Radio Astronomy";"5.149, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio Astronomy";"5.149";"MOBILE, Radio Astronomy";"5.149, ECA36";"";"Radio astronomy";"";"Continuum observations"
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio Astronomy";"5.149";"MOBILE, Radio Astronomy";"5.149, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Aeronautical military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Land military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Maritime military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC/(00)04";"Meteor scatter communications";"";"Within the band 39.0-39.2 MHz"
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis "
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Meteor scatter communications";"";"Within the band 39.0-39.2 MHz"
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"39.986 MHz";"40.02 MHz";"FIXED, MOBILE, Space Research";"";"MOBILE, Space Research";"ECA36";"";"Aeronautical military systems";"";""
"39.986 MHz";"40.02 MHz";"FIXED, MOBILE, Space Research";"";"MOBILE, Space Research";"ECA36";"";"Land military systems";"";""
"39.986 MHz";"40.02 MHz";"FIXED, MOBILE, Space Research";"";"MOBILE, Space Research";"ECA36";"";"Maritime military systems";"";""
"39.986 MHz";"40.02 MHz";"FIXED, MOBILE, Space Research";"";"MOBILE, Space Research";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39.986 MHz";"40.02 MHz";"FIXED, MOBILE, Space Research";"";"MOBILE, Space Research";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"40.02 MHz";"40.66 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"40.02 MHz";"40.66 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"40.02 MHz";"40.66 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"40.02 MHz";"40.66 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40.02 MHz";"40.66 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"";"Aeronautical military systems";"";""
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"";"ISM";"";""
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"";"Land military systems";"";""
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"";"Maritime military systems";"";""
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"ERC/DEC/(01)12, ERC/REC 70-03";"Model control";"EN 300 220";"40.665, 40.675, 40.685, 40.695 MHz"
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Non-specific SRDs";"EN 300 220";""
"40.66 MHz";"40.7 MHz";"FIXED, MOBILE";"5.150";"MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"40.7 MHz";"40.98 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"40.7 MHz";"40.98 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"40.7 MHz";"40.98 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"40.7 MHz";"40.98 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40.7 MHz";"40.98 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Space Research";"5.160, 5.161";"MOBILE, Space Research";"ECA36";"";"Aeronautical military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Space Research";"5.160, 5.161";"MOBILE, Space Research";"ECA36";"";"Land military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Space Research";"5.160, 5.161";"MOBILE, Space Research";"ECA36";"";"Maritime military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Space Research";"5.160, 5.161";"MOBILE, Space Research";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Space Research";"5.160, 5.161";"MOBILE, Space Research";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"41.015 MHz";"42 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Land military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"";"Aeronautical military systems";"";""
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"";"Land military systems";"";""
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"";"Maritime military systems";"";""
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"42.5 MHz";"44 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"42.5 MHz";"44 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Land military systems";"";""
"42.5 MHz";"44 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"42.5 MHz";"44 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"42.5 MHz";"44 MHz";"FIXED, MOBILE";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz.
Narrow band audio systems including tour guide systems on a tuning range basis"
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"";"Aeronautical military systems";"";""
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"";"Land military systems";"";""
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"";"Maritime military systems";"";""
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"44 MHz";"47 MHz";"FIXED, MOBILE";"5.162A";"MOBILE";"5.162A, ECA36";"";"Wind profilers";"";"In the range 46-68 MHz, geographical sharing with other services"
"47 MHz";"50 MHz";"BROADCASTING";"5.162A, 5.163, 5.164, 5.165";"LAND MOBILE";"5.162A, 5.164, ECA36";"";"Earth exploration-satellite";"";"In the range 48.5-50 MHz. Space Research/EESS"
"47 MHz";"50 MHz";"BROADCASTING";"5.162A, 5.163, 5.164, 5.165";"LAND MOBILE";"5.162A, 5.164, ECA36";"";"Land military systems";"";""
"47 MHz";"50 MHz";"BROADCASTING";"5.162A, 5.163, 5.164, 5.165";"LAND MOBILE";"5.162A, 5.164, ECA36";"";"On-site paging";"EN 300 224";"On site paging in the band 47.0-47.25 MHz"
"47 MHz";"50 MHz";"BROADCASTING";"5.162A, 5.163, 5.164, 5.165";"LAND MOBILE";"5.162A, 5.164, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Single frequency applications"
"47 MHz";"50 MHz";"BROADCASTING";"5.162A, 5.163, 5.164, 5.165";"LAND MOBILE";"5.162A, 5.164, ECA36";"";"Wind profilers";"";"In the range 46-68 MHz, geographical sharing with other services"
"50 MHz";"52 MHz";"BROADCASTING, Amateur(5.166C, 5.166E, 5.166B )";"5.162A, 5.164, 5.165, 5.166A, 5.169A , 5.169B ";"LAND MOBILE, Amateur";"5.162A, 5.164, 5.166A, 5.169B , ECA36";"";"Amateur";"EN 301 783";""
"50 MHz";"52 MHz";"BROADCASTING, Amateur(5.166C, 5.166E, 5.166B )";"5.162A, 5.164, 5.165, 5.166A, 5.169A , 5.169B ";"LAND MOBILE, Amateur";"5.162A, 5.164, 5.166A, 5.169B , ECA36";"";"Land military systems";"";""
"50 MHz";"52 MHz";"BROADCASTING, Amateur(5.166C, 5.166E, 5.166B )";"5.162A, 5.164, 5.165, 5.166A, 5.169A , 5.169B ";"LAND MOBILE, Amateur";"5.162A, 5.164, 5.166A, 5.169B , ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Single frequency applications"
"50 MHz";"52 MHz";"BROADCASTING, Amateur(5.166C, 5.166E, 5.166B )";"5.162A, 5.164, 5.165, 5.166A, 5.169A , 5.169B ";"LAND MOBILE, Amateur";"5.162A, 5.164, 5.166A, 5.169B , ECA36";"";"Wind profilers";"";"In the range 46-68 MHz, geographical sharing with other services"
"52 MHz";"68 MHz";"BROADCASTING";"5.162A, 5.163, 5.163, 5.164, 5.169A , 5.169B ";"LAND MOBILE";"5.162A, 5.163, 5.164, ECA36";"";"Land military systems";"";""
"52 MHz";"68 MHz";"BROADCASTING";"5.162A, 5.163, 5.163, 5.164, 5.169A , 5.169B ";"LAND MOBILE";"5.162A, 5.163, 5.164, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Mobile station transmit band in 54-61 MHz paired with base station transmit band in 61-68 MHz. Single frequency applications"
"52 MHz";"68 MHz";"BROADCASTING";"5.162A, 5.163, 5.163, 5.164, 5.169A , 5.169B ";"LAND MOBILE";"5.162A, 5.163, 5.164, ECA36";"";"Wind profilers";"";"In the range 46-68 MHz, geographical sharing with other services"
"68 MHz";"70.45 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.175";"MOBILE, Amateur";"ECA9, ECA36";"";"Amateur";"EN 301 783";"Within the band 69.9-70.5 MHz"
"68 MHz";"70.45 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.175";"MOBILE, Amateur";"ECA9, ECA36";"";"Land military systems";"";""
"68 MHz";"70.45 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.175";"MOBILE, Amateur";"ECA9, ECA36";"";"Maritime military systems";"";""
"68 MHz";"70.45 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.175";"MOBILE, Amateur";"ECA9, ECA36";"ECC/DEC/(19)02, T/R 25-08";"PMR/PAMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Mobile station transmit  paired with 77.8-80.25 MHz"
"70.45 MHz";"74.8 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.149, 5.175, 5.177, 5.178, 5.179";"MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur, Radio Astronomy";"5.149, ECA9, ECA36";"";"Amateur";"EN 301 783";"Within the band 69.9-70.5 MHz"
"70.45 MHz";"74.8 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.149, 5.175, 5.177, 5.178, 5.179";"MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur, Radio Astronomy";"5.149, ECA9, ECA36";"";"Land military systems";"";""
"70.45 MHz";"74.8 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.149, 5.175, 5.177, 5.178, 5.179";"MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur, Radio Astronomy";"5.149, ECA9, ECA36";"";"Maritime military systems";"";""
"70.45 MHz";"74.8 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.149, 5.175, 5.177, 5.178, 5.179";"MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur, Radio Astronomy";"5.149, ECA9, ECA36";"ECC/DEC/(19)02, T/R 25-08";"PMR/PAMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Mobile station transmit paired with 80.25-84.6 MHz"
"70.45 MHz";"74.8 MHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.149, 5.175, 5.177, 5.178, 5.179";"MOBILE EXCEPT AERONAUTICAL MOBILE, Amateur, Radio Astronomy";"5.149, ECA9, ECA36";"";"Radio astronomy";"";"Continuum observations (inter alia solar wind monitoring  in 73-74.6 MHz)"
"74.8 MHz";"75.2 MHz";"AERONAUTICAL RADIONAVIGATION";"5.180, 5.181";"AERONAUTICAL RADIONAVIGATION";"5.180";"";"ILS";"";"Marker beacons"
"75.2 MHz";"87.5 MHz";"FIXED, Mobile except aeronautical mobile";"5.175, 5.179, 5.187";"MOBILE";"ECA36";"";"Land military systems";"";""
"75.2 MHz";"87.5 MHz";"FIXED, Mobile except aeronautical mobile";"5.175, 5.179, 5.187";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"75.2 MHz";"87.5 MHz";"FIXED, Mobile except aeronautical mobile";"5.175, 5.179, 5.187";"MOBILE";"ECA36";"ECC/DEC/(19)02, T/R 25-08";"PMR/PAMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";"Mobile station transmit band in 75.2-77.7 MHz paired with base station transmit band in 85.0-87.5 MHz"
"87.5 MHz";"100 MHz";"BROADCASTING";"5.190";"BROADCASTING";"";"";"FM sound analogue";"EN 302 018, EN 303 345";"Geneva Agreement GE84"
"87.5 MHz";"100 MHz";"BROADCASTING";"5.190";"BROADCASTING";"";"ERC/REC 70-03";"Wireless audio/multimedia";"EN 301 357";"Within the band 87.5-108.0 MHz"
"100 MHz";"108 MHz";"BROADCASTING";"5.192, 5.194";"BROADCASTING";"";"";"FM sound analogue";"EN 302 018, EN 303 345";"Geneva Agreement GE84"
"100 MHz";"108 MHz";"BROADCASTING";"5.192, 5.194";"BROADCASTING";"";"ERC/REC 70-03";"Wireless audio/multimedia";"EN 301 357";"Within the band 87.5-108.0 MHz"
"108 MHz";"117.975 MHz";"AERONAUTICAL RADIONAVIGATION";"5.197, 5.197A";"AERONAUTICAL MOBILE (R), AERONAUTICAL RADIONAVIGATION";"5.197A";"";"Aeronautical communications";"EN 301 842";"Safety and regularity of flights, below 112 MHz limited to ground based data link transmitters"
"108 MHz";"117.975 MHz";"AERONAUTICAL RADIONAVIGATION";"5.197, 5.197A";"AERONAUTICAL MOBILE (R), AERONAUTICAL RADIONAVIGATION";"5.197A";"";"GBAS";"EN 303 084";"GBAS/VDB within 112-117.975 MHz"
"108 MHz";"117.975 MHz";"AERONAUTICAL RADIONAVIGATION";"5.197, 5.197A";"AERONAUTICAL MOBILE (R), AERONAUTICAL RADIONAVIGATION";"5.197A";"";"ILS";"";"Localiser within the band 108-112 MHz"
"108 MHz";"117.975 MHz";"AERONAUTICAL RADIONAVIGATION";"5.197, 5.197A";"AERONAUTICAL MOBILE (R), AERONAUTICAL RADIONAVIGATION";"5.197A";"";"VOR";"";"Within the band 108-117.975 MHz"
"117.975 MHz";"121.45 MHz";"AERONAUTICAL MOBILE (R)";"5.200";"AERONAUTICAL MOBILE (R)";"5.200, ECA5";"";"Aeronautical communications";"EN 300 676, EN 301 841, EN 301 842";"Safety and regularity of flights. EN 301 841-3  is for ground-based equipment"
"121.45 MHz";"121.55 MHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.200";"AERONAUTICAL MOBILE (R)";"5.111, 5.200";"";"-";"EN 300 676, EN 301 841, EN 302 961";"EN 301 841-3 is for ground-based equipment. Maritime Personal Homing Beacon for search and rescue purposes"
"121.45 MHz";"121.55 MHz";"AERONAUTICAL MOBILE (R)";"5.111, 5.200";"AERONAUTICAL MOBILE (R)";"5.111, 5.200";"";"EPIRBs";"EN 300 152";"Band only available for distress and safety"
"121.55 MHz";"136 MHz";"AERONAUTICAL MOBILE (R)";"5.200, 5.201";"AERONAUTICAL MOBILE (R)";"5.200, 5.201, ECA5";"";"Aeronautical communications";"EN 300 676, EN 301 841, EN 301 842";"123.1 MHz Aeronautical mobile distress communication. EN 301 841-3  is for ground-based equipment"
"136 MHz";"137 MHz";"AERONAUTICAL MOBILE (R)";"5.202";"AERONAUTICAL MOBILE (R)";"5.202, ECA5";"";"Aeronautical communications";"EN 300 676, EN 301 841, EN 301 842";"EN 301 841-3  is for ground-based equipment"
"137 MHz";"137.025 MHz";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH)(5.203C ), SPACE RESEARCH (SPACE-TO-EARTH), Fixed, Mobile except aeronautical mobile (R)";"5.204, 5.205, 5.206, 5.207, 5.208";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH), SPACE RESEARCH (SPACE-TO-EARTH)(5.203C)";"5.206, 5.208, ECA6, ECA36";"";"Aeronautical military systems";"";""
"137 MHz";"137.025 MHz";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH)(5.203C ), SPACE RESEARCH (SPACE-TO-EARTH), Fixed, Mobile except aeronautical mobile (R)";"5.204, 5.205, 5.206, 5.207, 5.208";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH), SPACE RESEARCH (SPACE-TO-EARTH)(5.203C)";"5.206, 5.208, ECA6, ECA36";"";"Land military systems";"";""
"137 MHz";"137.025 MHz";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH)(5.203C ), SPACE RESEARCH (SPACE-TO-EARTH), Fixed, Mobile except aeronautical mobile (R)";"5.204, 5.205, 5.206, 5.207, 5.208";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH), SPACE RESEARCH (SPACE-TO-EARTH)(5.203C)";"5.206, 5.208, ECA6, ECA36";"";"Land mobile";"";"Mobile restricted to Aeronautical Mobile (OR), including air sport"
"137 MHz";"137.025 MHz";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH)(5.203C ), SPACE RESEARCH (SPACE-TO-EARTH), Fixed, Mobile except aeronautical mobile (R)";"5.204, 5.205, 5.206, 5.207, 5.208";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH), SPACE RESEARCH (SPACE-TO-EARTH)(5.203C)";"5.206, 5.208, ECA6, ECA36";"ERC/DEC/(99)06";"MSS Earth stations";"EN 301 721";"Non-geostationary"
"137 MHz";"137.025 MHz";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH)(5.203C ), SPACE RESEARCH (SPACE-TO-EARTH), Fixed, Mobile except aeronautical mobile (R)";"5.204, 5.205, 5.206, 5.207, 5.208";"METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH), MOBILE, MOBILE-SATELLITE (SPACE-TO-EARTH)(5.208A, 5.208B, 5.209), SPACE OPERATION (SPACE-TO-EARTH), SPACE RESEARCH (SPACE-TO-EARTH)(5.203C)";"5.206, 5.208, ECA6, ECA36";"";"Satellite systems (military)";"";""
