"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"100 GHz";"102 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"102 GHz";"105 GHz";"FIXED, MOBILE, RADIO ASTRONOMY";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY";"5.149, 5.341";"ECC/REC/(18)02";"Fixed";"";""
"102 GHz";"105 GHz";"FIXED, MOBILE, RADIO ASTRONOMY";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY";"5.149, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"105 GHz";"109.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"ECC/REC/(18)02";"Fixed";"";""
"105 GHz";"109.5 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"109.5 GHz";"111.8 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"111.8 GHz";"114.25 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"ECC/REC/(18)02";"Fixed";"";""
"111.8 GHz";"114.25 GHz";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"FIXED, MOBILE, RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)(5.562B)";"5.149, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"114.25 GHz";"116 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), RADIO ASTRONOMY, SPACE RESEARCH (PASSIVE)";"5.340, 5.341";"";"Radio astronomy";"";"Continuum and spectral line observations"
"116 GHz";"119.98 GHz";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C), SPACE RESEARCH (PASSIVE)";"5.341";"EARTH EXPLORATION-SATELLITE (PASSIVE), INTER-SATELLITE(5.562C)";"5.341";"";"Passive sensors (satellite)";"";"Passive sensing as part of the oxygen absorption band with peak at 118.75 GHz"
