"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 301 783";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301700_301799/301783/02.01.01_60/en_301783v020101p.pdf"")";"24.0";"24.25";"GHz";"Amateur - Other"
"EN 303 276";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303200_303299/303276/01.01.00_20/en_303276v010100a.pdf"")";"5850.0";"5925.0";"MHz";"MBR - Other"
"EN 301 559";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301500_301599/301559/02.01.01_60/en_301559v020101p.pdf"")";"2483.5";"2500.0";"MHz";"LP-AMI - Active medical implants - Short Range Devices"
"EN 301 839";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301800_301899/301839/02.01.01_60/en_301839v020101p.pdf"")";"402.0";"405.0";"MHz";"Active medical implants - Short Range Devices"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"30.01";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"68.0";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"146.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"156.8375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"380.0";"385.0";"MHz";"PPDR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"385.0";"390.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"390.0";"395.0";"MHz";"PPDR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"395.0";"399.9";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"406.1";"430.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 113";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300100_300199/300113/02.02.01_60/en_300113v020201p.pdf"")";"440.0";"470.0";"MHz";"PMR/PAMR - Land mobile"
"EN 302 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/30206501/02.01.01_60/en_30206501v020101p.pdf"")";"3100.0";"4800.0";"MHz";"UWB applications - Short Range Devices"
"EN 302 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/30206501/02.01.01_60/en_30206501v020101p.pdf"")";"6000.0";"9000.0";"MHz";"UWB applications - Short Range Devices"
"EN 302 065";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302000_302099/30206501/02.01.01_60/en_30206501v020101p.pdf"")";"2200.0";"8500.0";"MHz";"Material Sensing - UWB applications - Short Range Devices"
"EN 302 186";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf"")";"10.7";"11.7";"GHz";"AES - FSS Earth stations - Satellite systems (civil)"
"EN 302 186";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf"")";"12.5";"12.75";"GHz";"AES - FSS Earth stations - Satellite systems (civil)"
"EN 302 186";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302100_302199/302186/02.01.01_60/en_302186v020101p.pdf"")";"14.0";"14.5";"GHz";"AES - FSS Earth stations - Satellite systems (civil)"
"EN 302 858";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302800_302899/30285802/01.03.01_60/en_30285802v010301p.pdf"")";"24.05";"24.25";"GHz";"TTT - Short Range Devices"
"EN 301 360";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301300_301399/301360/02.01.01_60/en_301360v020101p.pdf"")";"27.5";"29.5";"GHz";"SIT/SUT - FSS Earth stations - Satellite systems (civil)"
"EN 301 360";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301300_301399/301360/02.01.01_60/en_301360v020101p.pdf"")";"10.7";"12.75";"GHz";"SIT/SUT - FSS Earth stations - Satellite systems (civil)"
"EN 301 360";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301300_301399/301360/02.01.01_60/en_301360v020101p.pdf"")";"17.7";"20.2";"GHz";"SIT/SUT - FSS Earth stations - Satellite systems (civil)"
"EN 301 360";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/301300_301399/301360/02.01.01_60/en_301360v020101p.pdf"")";"21.4";"22.0";"GHz";"SIT/SUT - Broadcasting (satellite) - Satellite systems (civil)"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1164.0";"1215.0";"MHz";"GALILEO - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1164.0";"1215.0";"MHz";"GLONASS - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1215.0";"1240.0";"MHz";"GLONASS - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1215.0";"1240.0";"MHz";"GPS - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1240.0";"1300.0";"MHz";"GALILEO - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1240.0";"1300.0";"MHz";"GLONASS - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1559.0";"1610.0";"MHz";"GALILEO - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1559.0";"1610.0";"MHz";"GLONASS - Satellite navigation systems - Aeronautical"
"EN 303 413";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303400_303499/303413/01.01.01_60/en_303413v010101p.pdf"")";"1559.0";"1610.0";"MHz";"GPS - Satellite navigation systems - Aeronautical"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"240.0";"242.95";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"243.05";"267.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"267.0";"272.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"272.0";"273.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"273.0";"312.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"312.0";"315.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"315.0";"322.0";"MHz";"Defence systems"
"EN 302 617";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/302600_302699/302617/02.03.01_60/en_302617v020301p.pdf"")";"335.4";"380.0";"MHz";"Defence systems"
"EN 303 258";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/303200_303299/303258/01.01.01_60/en_303258v010101p.pdf"")";"5725.0";"5875.0";"MHz";"WIA - Tracking, tracing and data acquisition - Short Range Devices"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"8500.0";"8550.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"8550.0";"8650.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"8650.0";"8750.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"8750.0";"8850.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"8850.0";"9000.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9000.0";"9200.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9200.0";"9300.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9300.0";"9500.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9500.0";"9800.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9800.0";"9900.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 135";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303100_303199/303135/02.01.01_60/en_303135v020101p.pdf"")";"9900.0";"10000.0";"MHz";"Radiolocation (civil) - Other"
"EN 303 360";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303300_303399/303360/01.01.00_20/en_303360v010100a.pdf"")";"76.0";"77.0";"GHz";"TTT - Short Range Devices"
"EN 303 084";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/303000_303099/303084/02.01.01_60/en_303084v020101p.pdf"")";"108.0";"117.975";"MHz";"GBAS - Aeronautical navigation - Aeronautical"
"EN 300 330";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/300330/02.01.01_60/en_300330v020101p.pdf"")";"9.0";"30000.0";"kHz";"Inductive applications - Short Range Devices"
"EN 300 454";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300400_300499/30045402/01.01.01_60/en_30045402v010101p.pdf"")";"470.0";"790.0";"MHz";"Audio PMSE - PMSE"
"EN 300 454";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300400_300499/30045402/01.01.01_60/en_30045402v010101p.pdf"")";"174.0";"223.0";"MHz";"Audio PMSE - PMSE"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"30.01";"37.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"37.5";"38.25";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"38.25";"39.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"39.0";"39.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"39.5";"39.986";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"39.986";"40.02";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"40.02";"40.66";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"40.7";"40.98";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"40.98";"41.015";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"41.015";"42.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"42.0";"42.5";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"42.5";"44.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"44.0";"47.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"47.0";"50.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"50.0";"52.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"52.0";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"68.0";"70.45";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"70.45";"74.8";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"75.2";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"146.0";"148.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"148.0";"149.9";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"149.9";"150.05";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"150.05";"153.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"153.0";"154.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"154.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"156.8375";"157.1875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"157.1875";"157.3375";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"157.3375";"161.7875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"161.7875";"161.9375";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"161.9375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"406.1";"410.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"410.0";"420.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"420.0";"430.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"440.0";"450.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"450.0";"455.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"455.0";"456.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"456.0";"459.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"459.0";"460.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 296";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300296/02.01.01_60/en_300296v020101p.pdf"")";"460.0";"470.0";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"30.01";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"68.0";"70.45";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"70.45";"74.8";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"75.2";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"146.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"156.8375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"380.0";"399.9";"MHz";"PPDR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"410.0";"430.0";"MHz";"PPDR - Land mobile"
"EN 302 561";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302500_302599/302561/02.01.01_60/en_302561v020101p.pdf"")";"450.0";"470.0";"MHz";"PPDR - Land mobile"
"EN 300 338";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/30033801/01.04.02_60/en_30033801v010402p.pdf"")";"415.0";"435.0";"kHz";"Maritime communications - Maritime"
"EN 300 338";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/30033801/01.04.02_60/en_30033801v010402p.pdf"")";"435.0";"472.0";"kHz";"Maritime communications - Maritime"
"EN 300 338";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/30033801/01.04.02_60/en_30033801v010402p.pdf"")";"472.0";"479.0";"kHz";"Maritime communications - Maritime"
"EN 300 338";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/30033801/01.04.02_60/en_30033801v010402p.pdf"")";"479.0";"495.0";"kHz";"Maritime communications - Maritime"
"EN 300 338";"=HYPERLINK(""https://www.etsi.org/deliver/etsi_en/300300_300399/30033801/01.04.02_60/en_30033801v010402p.pdf"")";"505.0";"526.5";"kHz";"Maritime communications - Maritime"
"EN 302 288";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302200_302299/302288/02.01.01_60/en_302288v020101p.pdf"")";"24.25";"26.65";"GHz";"SRR - UWB applications - Short Range Devices"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"30.1";"40.66";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"40.7";"68.0";"MHz";"PMR - PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"68.0";"74.8";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"75.2";"87.5";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"146.0";"156.4875";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"156.8375";"161.9625";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"162.0375";"169.4";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"169.8125";"174.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"406.1";"430.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"440.0";"470.0";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"395.0";"399.9";"MHz";"PMR/PAMR - Land mobile"
"EN 300 219";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/300200_300299/300219/02.01.01_60/en_300219v020101p.pdf"")";"385.0";"390.0";"MHz";"PMR/PAMR - Land mobile"
"EN 302 961";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302900_302999/30296102/01.02.01_60/en_30296102v010201p.pdf"")";"121.45";"121.55";"MHz";"-"
"EN 302 686";"=HYPERLINK(""http://www.etsi.org/deliver/etsi_en/302600_302699/302686/01.01.01_60/en_302686v010101p.pdf"")";"63.72";"65.88";"GHz";"ITS - Land mobile"
